Timestamp,Source,Destination,TunnelType,PacketSize,PacketType,Name,FreshnessPeriod,MustBeFresh,Nonce,InterestLifetime
1472064887.360833,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185646,,1,2147025822,4000
1472064887.360891,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728741,1000,,,
1472064887.360956,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940914,1000,,,
1472064887.360991,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946022,1000,,,
1472064887.361032,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185646,1000,,,
1472064887.361084,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994086,,1,988842831,4000
1472064887.361166,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500756,,1,1631849678,4000
1472064887.361180,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994086,1000,,,
1472064887.361272,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500756,1000,,,
1472064887.361317,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135186,,1,183969276,4000
1472064887.361372,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774360,,1,1857904196,4000
1472064887.361412,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135186,1000,,,
1472064887.361500,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774360,1000,,,
1472064887.361656,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957287,,1,2214882087,4000
1472064887.361680,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153097,,1,3599269709,4000
1472064887.361717,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728742,,1,3192867241,4000
1472064887.361754,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957287,1000,,,
1472064887.361782,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940915,,1,1400287308,4000
1472064887.361793,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153097,1000,,,
1472064887.361810,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946023,,1,4025242662,4000
1472064887.361863,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185647,,1,153165052,4000
1472064887.361904,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728742,1000,,,
1472064887.361965,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940915,1000,,,
1472064887.362033,,,EthernetFrame,97,DATA,/test/pingserver/ping/16498734565840946023,1000,,,
1472064887.362069,,,EthernetFrame,96,DATA,/test/pingserver/ping/8603938537114185647,1000,,,
1472064887.362088,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/2441659746067994087,,1,1713588437,4000
1472064887.362184,,,EthernetFrame,96,DATA,/test/pingserver/ping/2441659746067994087,1000,,,
1472064887.362195,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/6307252001265500757,,1,3527291900,4000
1472064887.362289,,,EthernetFrame,96,DATA,/test/pingserver/ping/6307252001265500757,1000,,,
1472064887.362364,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/5049347067686135187,,1,2032858033,4000
1472064887.362389,,,EthernetFrame,58,INTEREST,/test/pingserver/ping/399070766912774361,,1,1019145356,4000
1472064887.362457,,,EthernetFrame,96,DATA,/test/pingserver/ping/5049347067686135187,1000,,,
1472064887.362492,,,EthernetFrame,95,DATA,/test/pingserver/ping/399070766912774361,1000,,,
1472064887.362683,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/3887343085482957288,,1,3053253695,4000
1472064887.362707,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14092481308067153098,,1,3203506536,4000
1472064887.362746,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/17847410537998728743,,1,4098836069,4000
1472064887.362782,,,EthernetFrame,96,DATA,/test/pingserver/ping/3887343085482957288,1000,,,
1472064887.362818,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/14430724323065940916,,1,3868194503,4000
1472064887.362831,,,EthernetFrame,97,DATA,/test/pingserver/ping/14092481308067153098,1000,,,
1472064887.362834,,,EthernetFrame,60,INTEREST,/test/pingserver/ping/16498734565840946024,,1,2837916797,4000
1472064887.362889,,,EthernetFrame,59,INTEREST,/test/pingserver/ping/8603938537114185648,,1,2587060118,4000
1472064887.362957,,,EthernetFrame,97,DATA,/test/pingserver/ping/17847410537998728743,1000,,,
1472064887.363022,,,EthernetFrame,97,DATA,/test/pingserver/ping/14430724323065940916,1000,,,
